context,target,condition,subject1,object1,object2,stim_classname,subject2
"At the store Alice wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,congruent,Alice,an apple,an orange,value_financial,
"At the store Alice wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,congruent,Alice,an apple,an orange,value_financial,
"At the store Alice wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,incongruent,Alice,an apple,an orange,value_financial,
"At the store Alice wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,incongruent,Alice,an apple,an orange,value_financial,
"At the store Alice wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,congruent,Alice,an apple,a pineapple,value_financial,
"At the store Alice wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,congruent,Alice,an apple,a pineapple,value_financial,
"At the store Alice wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",an apple costs more than a pineapple.,incongruent,Alice,an apple,a pineapple,value_financial,
"At the store Alice wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an apple.,incongruent,Alice,an apple,a pineapple,value_financial,
"At the store Alice wanted to buy either an apple or a dax, but only had enough money to buy an apple.",a dax costs more than an apple.,congruent,Alice,an apple,a dax,value_financial,
"At the store Alice wanted to buy either an apple or a dax, but only had enough money to buy a dax.",an apple costs more than a dax.,congruent,Alice,an apple,a dax,value_financial,
"At the store Alice wanted to buy either an apple or a dax, but only had enough money to buy an apple.",an apple costs more than a dax.,incongruent,Alice,an apple,a dax,value_financial,
"At the store Alice wanted to buy either an apple or a dax, but only had enough money to buy a dax.",a dax costs more than an apple.,incongruent,Alice,an apple,a dax,value_financial,
"At the store Alice wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",a blicket costs more than an apple.,congruent,Alice,an apple,a blicket,value_financial,
"At the store Alice wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",an apple costs more than a blicket.,congruent,Alice,an apple,a blicket,value_financial,
"At the store Alice wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",an apple costs more than a blicket.,incongruent,Alice,an apple,a blicket,value_financial,
"At the store Alice wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an apple.,incongruent,Alice,an apple,a blicket,value_financial,
"At the store Alice wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",a pineapple costs more than an orange.,congruent,Alice,an orange,a pineapple,value_financial,
"At the store Alice wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",an orange costs more than a pineapple.,congruent,Alice,an orange,a pineapple,value_financial,
"At the store Alice wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",an orange costs more than a pineapple.,incongruent,Alice,an orange,a pineapple,value_financial,
"At the store Alice wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an orange.,incongruent,Alice,an orange,a pineapple,value_financial,
"At the store Alice wanted to buy either an orange or a dax, but only had enough money to buy an orange.",a dax costs more than an orange.,congruent,Alice,an orange,a dax,value_financial,
"At the store Alice wanted to buy either an orange or a dax, but only had enough money to buy a dax.",an orange costs more than a dax.,congruent,Alice,an orange,a dax,value_financial,
"At the store Alice wanted to buy either an orange or a dax, but only had enough money to buy an orange.",an orange costs more than a dax.,incongruent,Alice,an orange,a dax,value_financial,
"At the store Alice wanted to buy either an orange or a dax, but only had enough money to buy a dax.",a dax costs more than an orange.,incongruent,Alice,an orange,a dax,value_financial,
"At the store Alice wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",a blicket costs more than an orange.,congruent,Alice,an orange,a blicket,value_financial,
"At the store Alice wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",an orange costs more than a blicket.,congruent,Alice,an orange,a blicket,value_financial,
"At the store Alice wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",an orange costs more than a blicket.,incongruent,Alice,an orange,a blicket,value_financial,
"At the store Alice wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an orange.,incongruent,Alice,an orange,a blicket,value_financial,
"At the store Alice wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a dax costs more than a pineapple.,congruent,Alice,a pineapple,a dax,value_financial,
"At the store Alice wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a pineapple costs more than a dax.,congruent,Alice,a pineapple,a dax,value_financial,
"At the store Alice wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a pineapple costs more than a dax.,incongruent,Alice,a pineapple,a dax,value_financial,
"At the store Alice wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a dax costs more than a pineapple.,incongruent,Alice,a pineapple,a dax,value_financial,
"At the store Alice wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a blicket costs more than a pineapple.,congruent,Alice,a pineapple,a blicket,value_financial,
"At the store Alice wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a pineapple costs more than a blicket.,congruent,Alice,a pineapple,a blicket,value_financial,
"At the store Alice wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a pineapple costs more than a blicket.,incongruent,Alice,a pineapple,a blicket,value_financial,
"At the store Alice wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a pineapple.,incongruent,Alice,a pineapple,a blicket,value_financial,
"At the store Alice wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a blicket costs more than a dax.,congruent,Alice,a dax,a blicket,value_financial,
"At the store Alice wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a dax costs more than a blicket.,congruent,Alice,a dax,a blicket,value_financial,
"At the store Alice wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a dax costs more than a blicket.,incongruent,Alice,a dax,a blicket,value_financial,
"At the store Alice wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a dax.,incongruent,Alice,a dax,a blicket,value_financial,
"At the store Bob wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,congruent,Bob,an apple,an orange,value_financial,
"At the store Bob wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,congruent,Bob,an apple,an orange,value_financial,
"At the store Bob wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,incongruent,Bob,an apple,an orange,value_financial,
"At the store Bob wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,incongruent,Bob,an apple,an orange,value_financial,
"At the store Bob wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,congruent,Bob,an apple,a pineapple,value_financial,
"At the store Bob wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,congruent,Bob,an apple,a pineapple,value_financial,
"At the store Bob wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",an apple costs more than a pineapple.,incongruent,Bob,an apple,a pineapple,value_financial,
"At the store Bob wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an apple.,incongruent,Bob,an apple,a pineapple,value_financial,
"At the store Bob wanted to buy either an apple or a dax, but only had enough money to buy an apple.",a dax costs more than an apple.,congruent,Bob,an apple,a dax,value_financial,
"At the store Bob wanted to buy either an apple or a dax, but only had enough money to buy a dax.",an apple costs more than a dax.,congruent,Bob,an apple,a dax,value_financial,
"At the store Bob wanted to buy either an apple or a dax, but only had enough money to buy an apple.",an apple costs more than a dax.,incongruent,Bob,an apple,a dax,value_financial,
"At the store Bob wanted to buy either an apple or a dax, but only had enough money to buy a dax.",a dax costs more than an apple.,incongruent,Bob,an apple,a dax,value_financial,
"At the store Bob wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",a blicket costs more than an apple.,congruent,Bob,an apple,a blicket,value_financial,
"At the store Bob wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",an apple costs more than a blicket.,congruent,Bob,an apple,a blicket,value_financial,
"At the store Bob wanted to buy either an apple or a blicket, but only had enough money to buy an apple.",an apple costs more than a blicket.,incongruent,Bob,an apple,a blicket,value_financial,
"At the store Bob wanted to buy either an apple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an apple.,incongruent,Bob,an apple,a blicket,value_financial,
"At the store Bob wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",a pineapple costs more than an orange.,congruent,Bob,an orange,a pineapple,value_financial,
"At the store Bob wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",an orange costs more than a pineapple.,congruent,Bob,an orange,a pineapple,value_financial,
"At the store Bob wanted to buy either an orange or a pineapple, but only had enough money to buy an orange.",an orange costs more than a pineapple.,incongruent,Bob,an orange,a pineapple,value_financial,
"At the store Bob wanted to buy either an orange or a pineapple, but only had enough money to buy a pineapple.",a pineapple costs more than an orange.,incongruent,Bob,an orange,a pineapple,value_financial,
"At the store Bob wanted to buy either an orange or a dax, but only had enough money to buy an orange.",a dax costs more than an orange.,congruent,Bob,an orange,a dax,value_financial,
"At the store Bob wanted to buy either an orange or a dax, but only had enough money to buy a dax.",an orange costs more than a dax.,congruent,Bob,an orange,a dax,value_financial,
"At the store Bob wanted to buy either an orange or a dax, but only had enough money to buy an orange.",an orange costs more than a dax.,incongruent,Bob,an orange,a dax,value_financial,
"At the store Bob wanted to buy either an orange or a dax, but only had enough money to buy a dax.",a dax costs more than an orange.,incongruent,Bob,an orange,a dax,value_financial,
"At the store Bob wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",a blicket costs more than an orange.,congruent,Bob,an orange,a blicket,value_financial,
"At the store Bob wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",an orange costs more than a blicket.,congruent,Bob,an orange,a blicket,value_financial,
"At the store Bob wanted to buy either an orange or a blicket, but only had enough money to buy an orange.",an orange costs more than a blicket.,incongruent,Bob,an orange,a blicket,value_financial,
"At the store Bob wanted to buy either an orange or a blicket, but only had enough money to buy a blicket.",a blicket costs more than an orange.,incongruent,Bob,an orange,a blicket,value_financial,
"At the store Bob wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a dax costs more than a pineapple.,congruent,Bob,a pineapple,a dax,value_financial,
"At the store Bob wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a pineapple costs more than a dax.,congruent,Bob,a pineapple,a dax,value_financial,
"At the store Bob wanted to buy either a pineapple or a dax, but only had enough money to buy a pineapple.",a pineapple costs more than a dax.,incongruent,Bob,a pineapple,a dax,value_financial,
"At the store Bob wanted to buy either a pineapple or a dax, but only had enough money to buy a dax.",a dax costs more than a pineapple.,incongruent,Bob,a pineapple,a dax,value_financial,
"At the store Bob wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a blicket costs more than a pineapple.,congruent,Bob,a pineapple,a blicket,value_financial,
"At the store Bob wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a pineapple costs more than a blicket.,congruent,Bob,a pineapple,a blicket,value_financial,
"At the store Bob wanted to buy either a pineapple or a blicket, but only had enough money to buy a pineapple.",a pineapple costs more than a blicket.,incongruent,Bob,a pineapple,a blicket,value_financial,
"At the store Bob wanted to buy either a pineapple or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a pineapple.,incongruent,Bob,a pineapple,a blicket,value_financial,
"At the store Bob wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a blicket costs more than a dax.,congruent,Bob,a dax,a blicket,value_financial,
"At the store Bob wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a dax costs more than a blicket.,congruent,Bob,a dax,a blicket,value_financial,
"At the store Bob wanted to buy either a dax or a blicket, but only had enough money to buy a dax.",a dax costs more than a blicket.,incongruent,Bob,a dax,a blicket,value_financial,
"At the store Bob wanted to buy either a dax or a blicket, but only had enough money to buy a blicket.",a blicket costs more than a dax.,incongruent,Bob,a dax,a blicket,value_financial,
"At the store Charlie wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an orange costs more than an apple.,congruent,Charlie,an apple,an orange,value_financial,
"At the store Charlie wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an apple costs more than an orange.,congruent,Charlie,an apple,an orange,value_financial,
"At the store Charlie wanted to buy either an apple or an orange, but only had enough money to buy an apple.",an apple costs more than an orange.,incongruent,Charlie,an apple,an orange,value_financial,
"At the store Charlie wanted to buy either an apple or an orange, but only had enough money to buy an orange.",an orange costs more than an apple.,incongruent,Charlie,an apple,an orange,value_financial,
"At the store Charlie wanted to buy either an apple or a pineapple, but only had enough money to buy an apple.",a pineapple costs more than an apple.,congruent,Charlie,an apple,a pineapple,value_financial,
"At the store Charlie wanted to buy either an apple or a pineapple, but only had enough money to buy a pineapple.",an apple costs more than a pineapple.,congruent,Charlie,an apple,a pineapple,value_financial,
